[2025-08-24 16:03:30.593] LINEARIZABILITY_TEST_SUITE_START: Starting linearizability and write durability testing
[2025-08-24 16:03:30.594] CONFIG: Concurrent clients: 10, Operations per client: 100, Duration: 10m0s
[2025-08-24 16:04:00.749] CONNECTIVITY: Initial connectivity and consistency verified
[2025-08-24 16:04:00.841] LINEARIZABILITY_WRITE_SUCCESS: client-8 wrote client-8-seq-7 (duration: 2.775459ms)
[2025-08-24 16:04:00.841] LINEARIZABILITY_WRITE_SUCCESS: client-7 wrote client-7-seq-6 (duration: 2.808709ms)
[2025-08-24 16:04:00.841] LINEARIZABILITY_WRITE_SUCCESS: client-9 wrote client-9-seq-6 (duration: 2.705375ms)
[2025-08-24 16:04:00.848] LINEARIZABILITY_WRITE_SUCCESS: client-6 wrote client-6-seq-7 (duration: 2.786708ms)
[2025-08-24 16:04:00.852] LINEARIZABILITY_WRITE_SUCCESS: client-1 wrote client-1-seq-7 (duration: 5.480917ms)
[2025-08-24 16:04:00.852] LINEARIZABILITY_WRITE_SUCCESS: client-2 wrote client-2-seq-7 (duration: 2.64775ms)
[2025-08-24 16:04:00.854] LINEARIZABILITY_WRITE_SUCCESS: client-10 wrote client-10-seq-7 (duration: 2.347167ms)
[2025-08-24 16:04:00.854] LINEARIZABILITY_WRITE_SUCCESS: client-3 wrote client-3-seq-7 (duration: 2.539375ms)
[2025-08-24 16:04:00.854] LINEARIZABILITY_WRITE_SUCCESS: client-5 wrote client-5-seq-7 (duration: 2.372667ms)
[2025-08-24 16:04:00.854] LINEARIZABILITY_WRITE_SUCCESS: client-9 wrote client-9-seq-7 (duration: 2.417833ms)
[2025-08-24 16:04:00.854] LINEARIZABILITY_WRITE_SUCCESS: client-8 wrote client-8-seq-8 (duration: 2.47625ms)
[2025-08-24 16:04:00.854] LINEARIZABILITY_WRITE_SUCCESS: client-4 wrote client-4-seq-7 (duration: 2.427958ms)
[2025-08-24 16:04:00.854] LINEARIZABILITY_WRITE_SUCCESS: client-7 wrote client-7-seq-7 (duration: 2.3275ms)
[2025-08-24 16:04:00.862] LINEARIZABILITY_WRITE_SUCCESS: client-6 wrote client-6-seq-8 (duration: 2.483375ms)
[2025-08-24 16:04:00.868] LINEARIZABILITY_WRITE_SUCCESS: client-1 wrote client-1-seq-8 (duration: 3.605833ms)
[2025-08-24 16:04:00.869] LINEARIZABILITY_WRITE_SUCCESS: client-2 wrote client-2-seq-8 (duration: 4.888458ms)
[2025-08-24 16:04:00.871] LINEARIZABILITY_WRITE_SUCCESS: client-10 wrote client-10-seq-8 (duration: 4.505042ms)
[2025-08-24 16:04:00.871] LINEARIZABILITY_WRITE_SUCCESS: client-4 wrote client-4-seq-8 (duration: 4.478042ms)
[2025-08-24 16:04:00.872] LINEARIZABILITY_WRITE_SUCCESS: client-9 wrote client-9-seq-8 (duration: 4.91075ms)
[2025-08-24 16:04:00.872] LINEARIZABILITY_WRITE_SUCCESS: client-8 wrote client-8-seq-9 (duration: 4.946709ms)
[2025-08-24 16:04:00.872] LINEARIZABILITY_WRITE_SUCCESS: client-5 wrote client-5-seq-8 (duration: 4.964084ms)
[2025-08-24 16:04:00.872] LINEARIZABILITY_WRITE_SUCCESS: client-3 wrote client-3-seq-8 (duration: 4.985459ms)
[2025-08-24 16:04:00.872] LINEARIZABILITY_WRITE_SUCCESS: client-7 wrote client-7-seq-8 (duration: 4.191792ms)
[2025-08-24 16:04:00.875] LINEARIZABILITY_WRITE_SUCCESS: client-6 wrote client-6-seq-9 (duration: 2.310625ms)
[2025-08-24 16:04:00.884] LINEARIZABILITY_WRITE_SUCCESS: client-2 wrote client-2-seq-9 (duration: 3.230792ms)
[2025-08-24 16:04:00.884] LINEARIZABILITY_WRITE_SUCCESS: client-1 wrote client-1-seq-9 (duration: 3.871708ms)
[2025-08-24 16:04:00.886] LINEARIZABILITY_WRITE_SUCCESS: client-3 wrote client-3-seq-9 (duration: 3.309292ms)
[2025-08-24 16:04:00.890] LINEARIZABILITY_WRITE_SUCCESS: client-7 wrote client-7-seq-9 (duration: 6.384958ms)
[2025-08-24 16:04:00.890] LINEARIZABILITY_WRITE_SUCCESS: client-8 wrote client-8-seq-10 (duration: 6.549666ms)
[2025-08-24 16:04:00.890] LINEARIZABILITY_WRITE_SUCCESS: client-9 wrote client-9-seq-9 (duration: 6.45825ms)
[2025-08-24 16:04:00.890] LINEARIZABILITY_WRITE_SUCCESS: client-5 wrote client-5-seq-9 (duration: 6.496667ms)
[2025-08-24 16:04:00.890] LINEARIZABILITY_WRITE_SUCCESS: client-4 wrote client-4-seq-9 (duration: 6.601667ms)
[2025-08-24 16:04:00.890] LINEARIZABILITY_WRITE_SUCCESS: client-10 wrote client-10-seq-9 (duration: 6.468208ms)
[2025-08-24 16:04:00.892] LINEARIZABILITY_WRITE_SUCCESS: client-6 wrote client-6-seq-10 (duration: 5.155666ms)
[2025-08-24 16:04:00.897] LINEARIZABILITY_WRITE_SUCCESS: client-2 wrote client-2-seq-10 (duration: 2.609ms)
[2025-08-24 16:04:00.897] LINEARIZABILITY_WRITE_SUCCESS: client-1 wrote client-1-seq-10 (duration: 2.499833ms)
[2025-08-24 16:04:00.901] LINEARIZABILITY_WRITE_SUCCESS: client-3 wrote client-3-seq-10 (duration: 2.753459ms)
[2025-08-24 16:04:00.908] LINEARIZABILITY_WRITE_SUCCESS: client-7 wrote client-7-seq-10 (duration: 5.163291ms)
[2025-08-24 16:04:00.908] LINEARIZABILITY_WRITE_SUCCESS: client-10 wrote client-10-seq-10 (duration: 5.198375ms)
[2025-08-24 16:04:00.908] LINEARIZABILITY_WRITE_SUCCESS: client-9 wrote client-9-seq-10 (duration: 5.19325ms)
[2025-08-24 16:04:00.908] LINEARIZABILITY_WRITE_SUCCESS: client-6 wrote client-6-seq-11 (duration: 4.285291ms)
[2025-08-24 16:04:00.908] LINEARIZABILITY_WRITE_SUCCESS: client-5 wrote client-5-seq-10 (duration: 4.847208ms)
[2025-08-24 16:04:00.908] LINEARIZABILITY_WRITE_SUCCESS: client-4 wrote client-4-seq-10 (duration: 4.156042ms)
[2025-08-24 16:04:00.908] LINEARIZABILITY_WRITE_SUCCESS: client-8 wrote client-8-seq-11 (duration: 5.395667ms)
[2025-08-24 16:04:00.911] LINEARIZABILITY_WRITE_SUCCESS: client-1 wrote client-1-seq-11 (duration: 2.282541ms)
[2025-08-24 16:04:00.913] LINEARIZABILITY_WRITE_SUCCESS: client-2 wrote client-2-seq-11 (duration: 3.952625ms)
[2025-08-24 16:04:00.916] LINEARIZABILITY_WRITE_SUCCESS: client-3 wrote client-3-seq-11 (duration: 3.530459ms)
[2025-08-24 16:04:00.925] LINEARIZABILITY_WRITE_SUCCESS: client-5 wrote client-5-seq-11 (duration: 2.886459ms)
[2025-08-24 16:04:00.925] LINEARIZABILITY_WRITE_SUCCESS: client-8 wrote client-8-seq-12 (duration: 2.900375ms)
[2025-08-24 16:04:00.928] LINEARIZABILITY_WRITE_SUCCESS: client-4 wrote client-4-seq-11 (duration: 6.396375ms)
[2025-08-24 16:04:00.928] LINEARIZABILITY_WRITE_SUCCESS: client-9 wrote client-9-seq-11 (duration: 6.368583ms)
[2025-08-24 16:04:00.928] LINEARIZABILITY_WRITE_SUCCESS: client-1 wrote client-1-seq-12 (duration: 5.611875ms)
[2025-08-24 16:04:00.928] LINEARIZABILITY_WRITE_SUCCESS: client-7 wrote client-7-seq-11 (duration: 6.361958ms)
[2025-08-24 16:04:00.928] LINEARIZABILITY_WRITE_SUCCESS: client-10 wrote client-10-seq-11 (duration: 6.396291ms)
[2025-08-24 16:04:00.928] LINEARIZABILITY_WRITE_SUCCESS: client-6 wrote client-6-seq-12 (duration: 6.348458ms)
[2025-08-24 16:04:00.930] LINEARIZABILITY_WRITE_SUCCESS: client-2 wrote client-2-seq-12 (duration: 5.188417ms)
[2025-08-24 16:04:00.931] LINEARIZABILITY_WRITE_SUCCESS: client-3 wrote client-3-seq-12 (duration: 2.792125ms)
[2025-08-24 16:04:00.949] LINEARIZABILITY_WRITE_SUCCESS: client-5 wrote client-5-seq-12 (duration: 11.558167ms)
[2025-08-24 16:04:00.949] LINEARIZABILITY_WRITE_SUCCESS: client-8 wrote client-8-seq-13 (duration: 11.540417ms)
[2025-08-24 16:04:00.950] LINEARIZABILITY_WRITE_SUCCESS: client-10 wrote client-10-seq-12 (duration: 9.953208ms)
[2025-08-24 16:04:00.950] LINEARIZABILITY_WRITE_SUCCESS: client-7 wrote client-7-seq-12 (duration: 10.00925ms)
[2025-08-24 16:04:00.950] LINEARIZABILITY_WRITE_SUCCESS: client-6 wrote client-6-seq-13 (duration: 10.156333ms)
[2025-08-24 16:04:00.950] LINEARIZABILITY_WRITE_SUCCESS: client-1 wrote client-1-seq-13 (duration: 10.209208ms)
[2025-08-24 16:04:00.950] LINEARIZABILITY_WRITE_SUCCESS: client-9 wrote client-9-seq-12 (duration: 10.177292ms)
[2025-08-24 16:04:00.950] LINEARIZABILITY_WRITE_SUCCESS: client-4 wrote client-4-seq-12 (duration: 10.175875ms)
[2025-08-24 16:04:00.951] LINEARIZABILITY_WRITE_SUCCESS: client-3 wrote client-3-seq-13 (duration: 8.43725ms)
[2025-08-24 16:04:00.951] LINEARIZABILITY_WRITE_SUCCESS: client-2 wrote client-2-seq-13 (duration: 10.494875ms)
[2025-08-24 16:04:00.964] LINEARIZABILITY_WRITE_SUCCESS: client-5 wrote client-5-seq-13 (duration: 3.26925ms)
[2025-08-24 16:04:00.964] LINEARIZABILITY_WRITE_SUCCESS: client-10 wrote client-10-seq-13 (duration: 3.409ms)
[2025-08-24 16:04:00.964] LINEARIZABILITY_WRITE_SUCCESS: client-7 wrote client-7-seq-13 (duration: 3.449917ms)
[2025-08-24 16:04:00.965] LINEARIZABILITY_WRITE_SUCCESS: client-8 wrote client-8-seq-14 (duration: 4.256708ms)
[2025-08-24 16:04:00.967] LINEARIZABILITY_WRITE_SUCCESS: client-4 wrote client-4-seq-13 (duration: 4.086583ms)
[2025-08-24 16:04:00.967] LINEARIZABILITY_WRITE_SUCCESS: client-9 wrote client-9-seq-13 (duration: 4.128ms)
[2025-08-24 16:04:00.968] LINEARIZABILITY_WRITE_SUCCESS: client-3 wrote client-3-seq-14 (duration: 4.737125ms)
[2025-08-24 16:04:00.968] LINEARIZABILITY_WRITE_SUCCESS: client-1 wrote client-1-seq-14 (duration: 5.096417ms)
[2025-08-24 16:04:00.968] LINEARIZABILITY_WRITE_SUCCESS: client-6 wrote client-6-seq-14 (duration: 5.10425ms)
[2025-08-24 16:04:00.968] LINEARIZABILITY_WRITE_SUCCESS: client-2 wrote client-2-seq-14 (duration: 4.791291ms)
[2025-08-24 16:04:00.978] LINEARIZABILITY_WRITE_SUCCESS: client-5 wrote client-5-seq-14 (duration: 2.135208ms)
[2025-08-24 16:04:00.982] LINEARIZABILITY_WRITE_SUCCESS: client-8 wrote client-8-seq-15 (duration: 3.988541ms)
[2025-08-24 16:04:00.983] LINEARIZABILITY_WRITE_SUCCESS: client-4 wrote client-4-seq-14 (duration: 5.44225ms)
[2025-08-24 16:04:00.983] LINEARIZABILITY_WRITE_SUCCESS: client-2 wrote client-2-seq-15 (duration: 4.628167ms)
[2025-08-24 16:04:00.984] LINEARIZABILITY_WRITE_SUCCESS: client-1 wrote client-1-seq-15 (duration: 4.706167ms)
[2025-08-24 16:04:00.984] LINEARIZABILITY_WRITE_SUCCESS: client-9 wrote client-9-seq-14 (duration: 5.684083ms)
[2025-08-24 16:04:00.984] LINEARIZABILITY_WRITE_SUCCESS: client-10 wrote client-10-seq-14 (duration: 5.736542ms)
[2025-08-24 16:04:00.984] LINEARIZABILITY_WRITE_SUCCESS: client-6 wrote client-6-seq-15 (duration: 4.789542ms)
[2025-08-24 16:04:00.984] LINEARIZABILITY_WRITE_SUCCESS: client-3 wrote client-3-seq-15 (duration: 5.498334ms)
[2025-08-24 16:04:00.984] LINEARIZABILITY_WRITE_SUCCESS: client-7 wrote client-7-seq-14 (duration: 5.756291ms)
[2025-08-24 16:04:00.993] LINEARIZABILITY_WRITE_SUCCESS: client-5 wrote client-5-seq-15 (duration: 1.939833ms)
[2025-08-24 16:04:00.995] LINEARIZABILITY_WRITE_SUCCESS: client-8 wrote client-8-seq-16 (duration: 2.470167ms)
[2025-08-24 16:04:00.998] LINEARIZABILITY_WRITE_SUCCESS: client-10 wrote client-10-seq-15 (duration: 3.370375ms)
[2025-08-24 16:04:00.999] LINEARIZABILITY_WRITE_SUCCESS: client-6 wrote client-6-seq-16 (duration: 4.239167ms)
[2025-08-24 16:04:00.999] LINEARIZABILITY_WRITE_SUCCESS: client-1 wrote client-1-seq-16 (duration: 4.284416ms)
